psfMag_r	fiberMag_r	fiber2Mag_r	petroMag_r	deVMag_r	expMag_r	modelMag_r	cModelMag_r	class
20.90689	20.88444	21.47584	20.18164	20.12147	20.32222	20.12148	20.14346	b'GALAXY'
21.14144	21.06325	21.70007	20.2605	20.20111	20.35099	20.35099	20.30745	b'STAR'
20.30378	20.18915	20.82088	19.31659	19.13671	19.36491	19.36491	19.26897	b'GALAXY'
20.85281	20.89195	21.46615	20.36092	20.27588	20.42287	20.27588	20.28923	b'GALAXY'
18.52232	18.44439	19.06037	17.33419	17.30716	17.65211	17.30716	17.30716	b'GALAXY'
21.68025	21.63089	22.21901	20.83537	20.9093	21.20523	20.9093	20.9093	b'GALAXY'
17.91663	17.8613	18.47428	16.91475	16.84039	17.09495	16.84039	16.84039	b'GALAXY'
18.98332	18.63901	19.35357	16.78165	16.32212	16.7792	16.77922	16.6494	b'GALAXY'
22.03254	21.75959	22.42285	20.66224	20.31371	20.87953	20.31387	20.31371	b'GALAXY'
17.81575	17.9006	18.4588	17.3851	17.35128	17.42672	17.35128	17.35364	b'GALAXY'
17.12611	16.78106	17.47013	15.73659	15.59894	15.9272	15.59894	15.59894	b'GALAXY'
18.73757	18.62059	19.24504	17.80424	17.67107	17.89537	17.67107	17.73698	b'GALAXY'
18.61154	18.56219	19.1704	17.79109	17.6926	17.88525	17.6926	17.7263	b'GALAXY'
19.75758	19.33592	20.07791	17.50551	16.90392	17.44009	17.44009	17.44009	b'GALAXY'
21.22712	21.27555	21.85025	20.55525	20.58148	20.75551	20.58144	20.58148	b'GALAXY'
20.47746	20.37307	20.99598	19.29851	19.26082	19.6574	19.26082	19.26082	b'GALAXY'
20.58076	20.58694	21.17616	19.86894	19.84521	20.04712	19.84518	19.84521	b'GALAXY'
21.41656	21.47056	22.03436	21.00586	20.86855	20.98969	20.86855	20.88658	b'GALAXY'
20.25147	20.20455	20.8228	18.94934	18.91613	19.32081	18.91611	18.91613	b'GALAXY'
21.62905	21.19904	21.89599	20.38776	19.98399	20.27241	20.27241	20.27241	b'GALAXY'
21.76862	21.72765	22.31831	21.23402	20.99641	21.13051	21.1305	21.13051	b'GALAXY'
21.50318	21.26774	21.93577	20.18444	19.88923	20.28818	20.28818	20.14385	b'GALAXY'
20.13974	20.05765	20.68288	18.88698	18.80633	19.2142	18.8063	18.80633	b'GALAXY'
21.69455	21.53107	22.17097	20.73097	20.53302	20.78467	20.78469	20.75849	b'GALAXY'
19.2094	18.8646	19.59538	16.57873	16.05465	16.54996	16.54995	16.41944	b'GALAXY'
17.75014	17.72746	18.33918	16.8167	16.72976	16.96485	16.72979	16.72976	b'GALAXY'
18.83766	18.74923	19.38749	17.47078	17.41066	17.83642	17.41064	17.41066	b'GALAXY'
19.47656	19.09791	19.85595	16.75518	16.25327	16.72431	16.72431	16.72431	b'GALAXY'
18.18729	17.95267	18.64889	16.19915	15.95795	16.39918	15.95795	16.07351	b'GALAXY'
21.36887	21.43478	22.00541	20.85147	20.79884	21.00515	20.79885	20.79884	b'GALAXY'
20.88802	20.92033	21.49244	20.42186	20.30862	20.44426	20.44427	20.38296	b'GALAXY'
21.29667	21.29292	21.89228	20.41061	20.35374	20.6707	20.35375	20.35374	b'GALAXY'
21.46145	21.41228	22.01825	20.61474	20.52219	20.72019	20.72019	20.61478	b'GALAXY'
21.29558	21.33832	21.91904	20.62877	20.59112	20.8029	20.59111	20.59112	b'GALAXY'
21.54966	21.6546	22.20617	21.19898	21.18247	21.1773	21.1773	21.17994	b'GALAXY'
18.34311	18.05405	18.74997	16.30853	16.08148	16.35525	16.35525	16.24088	b'GALAXY'
17.79596	18.10887	18.59655	17.83015	17.78169	17.78166	17.78169	17.78169	b'STAR'
19.68908	19.36662	20.07021	17.84638	17.4563	17.93792	17.9379	17.74971	b'GALAXY'
19.99349	19.87649	20.50928	18.77545	18.63773	19.01637	18.63767	18.63844	b'GALAXY'
20.27057	20.52564	21.02434	20.36126	20.26679	20.26544	20.26544	20.26577	b'STAR'
20.62883	20.96772	21.4523	20.67384	20.63266	20.63242	20.63266	20.63266	b'STAR'
21.75481	21.797	22.3786	20.88907	20.98487	21.25545	20.98486	20.98487	b'GALAXY'
19.47467	19.02744	19.77126	16.31763	15.63659	16.28038	16.28039	16.21409	b'GALAXY'
18.34491	18.27143	18.87911	17.38581	17.29568	17.46069	17.29567	17.31681	b'GALAXY'
20.8808	21.19384	21.66915	21.02225	20.88752	20.8874	20.8874	20.8874	b'STAR'
18.91688	18.76483	19.40354	17.51165	17.42529	17.85568	17.42529	17.42529	b'GALAXY'
19.2124	18.82973	19.56793	16.9256	16.39802	16.90735	16.90735	16.8721	b'GALAXY'
21.13993	20.82898	21.50952	19.32752	18.98316	19.49203	18.98316	19.15624	b'GALAXY'
20.54959	20.43252	21.0624	19.56169	19.36694	19.65594	19.36694	19.43418	b'GALAXY'
21.30358	21.27201	21.86149	20.54969	20.48609	20.73065	20.48609	20.49728	b'GALAXY'
21.16052	21.45128	21.94312	21.15135	21.10921	21.10791	21.10921	21.10921	b'STAR'
20.60915	20.61918	21.1993	20.02807	19.98648	20.13872	19.98648	20.00151	b'GALAXY'
21.80278	21.81803	22.39029	21.2409	21.22994	21.37477	21.22994	21.23553	b'GALAXY'
18.04191	17.89805	18.55293	16.25502	16.10543	16.54552	16.10541	16.10543	b'GALAXY'
18.75624	18.7254	19.33418	17.69426	17.67193	18.00045	17.67193	17.67193	b'GALAXY'
21.16223	21.53786	21.98711	21.34134	21.14003	21.14334	21.14003	21.14003	b'GALAXY'
21.4885	21.38753	22.00143	20.82463	20.66775	20.80795	20.80795	20.80795	b'GALAXY'
19.44464	19.79203	20.26971	19.51803	19.45661	19.45634	19.45661	19.45661	b'STAR'
17.97706	17.67706	18.39301	15.70703	15.47237	15.71816	15.71816	15.64165	b'GALAXY'
17.30242	17.6369	18.11993	17.36426	17.31645	17.31654	17.31654	17.31654	b'STAR'
21.45808	21.42805	22.05139	20.52193	20.36176	20.68605	20.36176	20.36176	b'GALAXY'
21.51447	21.97314	22.37942	21.85606	21.53126	21.5314	21.53126	21.53126	b'STAR'
21.29815	21.58489	22.07824	21.32385	21.2677	21.26947	21.2677	21.2677	b'GALAXY'
19.39701	19.02567	19.75241	17.67542	17.24514	17.66951	17.66951	17.65659	b'GALAXY'
21.38248	21.31575	21.91785	20.3888	20.42341	20.72543	20.42341	20.49068	b'GALAXY'
21.76591	22.18165	22.64288	22.00358	21.77713	21.77723	21.77723	21.77723	b'STAR'
19.97295	19.77363	20.53828	17.19507	16.46632	17.14484	17.14488	17.09291	b'GALAXY'
20.80827	21.18492	21.63598	20.81048	20.81575	20.81587	20.81575	20.81575	b'STAR'
18.08505	17.99089	18.65442	17.18263	17.02797	17.18911	17.18911	17.18911	b'GALAXY'
19.4068	19.24426	19.96144	17.24843	16.87172	17.44414	16.87172	17.17743	b'GALAXY'
17.0972	17.10723	17.73527	15.71513	15.64058	15.95231	15.64058	15.64058	b'GALAXY'
17.34002	17.38736	17.99282	16.0233	16.00342	16.33529	16.00342	16.00342	b'GALAXY'
18.77332	18.63121	19.33898	16.73964	16.36101	16.79801	16.798	16.60409	b'GALAXY'
19.86104	19.65912	20.4037	17.6258	17.00038	17.58402	17.58404	17.58402	b'GALAXY'
18.70931	19.0207	19.49086	18.74994	18.70482	18.7047	18.7047	18.7047	b'STAR'
18.50963	18.49315	19.14121	17.45067	17.29383	17.56477	17.29383	17.3753	b'GALAXY'
17.22529	17.55043	18.02415	17.26727	17.22637	17.2268	17.22637	17.22637	b'STAR'
17.76434	17.78462	18.42135	16.12225	16.00559	16.42646	16.0056	16.00559	b'GALAXY'
17.66429	17.54863	18.25699	14.83817	14.55437	14.92526	14.55437	14.72956	b'GALAXY'
20.38233	19.601	20.25254	19.37255	18.65177	19.52218	18.65171	18.65177	b'STAR'
18.21772	18.28071	18.88783	17.45574	17.35168	17.53936	17.35165	17.38233	b'GALAXY'
17.23668	17.23097	17.87707	15.48054	15.41029	15.82545	15.41031	15.41029	b'GALAXY'
17.86214	17.88833	18.51888	16.65848	16.52664	16.82557	16.52664	16.5397	b'GALAXY'
17.47398	17.39843	18.08501	15.71457	15.49643	15.80862	15.49643	15.61023	b'GALAXY'
17.31563	17.31813	17.94987	15.54645	15.55546	15.98727	15.55545	15.55546	b'GALAXY'
17.84642	17.8989	18.49254	17.11755	17.01637	17.31795	17.01628	17.01637	b'GALAXY'
20.03854	19.45538	20.25826	16.38553	15.61955	16.38374	16.38373	16.33846	b'GALAXY'
17.63056	17.71405	18.30913	16.67736	16.63994	16.88861	16.63994	16.63994	b'GALAXY'
17.62845	17.64032	18.27337	16.35478	16.26873	16.5708	16.26873	16.26873	b'GALAXY'
18.23524	18.21624	18.86392	17.00649	16.83318	17.03962	17.03964	16.93173	b'GALAXY'
17.65353	17.68732	18.31079	16.35606	16.30498	16.59113	16.30501	16.30498	b'GALAXY'
18.00458	18.06397	18.67558	17.09642	16.98915	17.20273	16.98915	17.01197	b'GALAXY'
18.4496	18.54991	19.13984	17.49779	17.46628	17.75348	17.46629	17.46628	b'GALAXY'
18.96768	18.90449	19.56558	17.82174	17.61809	17.9055	17.9055	17.74448	b'GALAXY'
19.08658	19.03215	19.7162	17.44317	17.07168	17.48355	17.48353	17.37025	b'GALAXY'
17.91794	17.87532	18.53634	16.57585	16.39535	16.72621	16.39533	16.45892	b'GALAXY'
18.86398	18.89346	19.52061	17.90575	17.75334	18.04296	17.75334	17.81094	b'GALAXY'
17.84169	17.7483	18.42543	16.58195	16.39399	16.65526	16.65526	16.51533	b'GALAXY'
17.50897	17.62478	18.19978	16.89832	16.84312	16.98217	16.84312	16.84312	b'GALAXY'
17.87481	17.96906	18.55255	17.18368	17.15532	17.33252	17.15532	17.15532	b'GALAXY'
17.75634	17.61817	18.31753	16.25633	16.05057	16.34742	16.34742	16.20922	b'GALAXY'
